,Link,Good Characters,Bad Characters
35,https://shanghai.anjuke.com/community/view/8,"
??
?????????A,B,C,D????A,D????????????3?1?,??597????????
?????????????2005????2007?????????*????????????????????
????????????????????????15??????85%????47%????3000?/?
","
??
????????????????????????????????????
"
36,https://shanghai.anjuke.com/community/view/8,"
??
????????434????597??????45???????????
?????????2??????900????????????????????
","
??
???????????????????????
"
37,https://shanghai.anjuke.com/community/view/8,"
??
???????????????A\D??597??????B\C??430????????767?1200???
??????????1:3????????4000???????????????????
","
??
????????7000????
"
38,https://shanghai.anjuke.com/community/view/8,"
??
?????????4?,??A\D??597??????B\C??430????????767??1200???
??????????1?3??????4000??????????????????????
????????2007????2008???
??????????????????200?????????150?
","
??
?????????????????????????17?????????????????????7000????
"
39,https://shanghai.anjuke.com/community/view/8,"
??
????????????? ????? ????? 434?597?  ???876?987???
??????????1:3  ??????? ?? ???????
","
??
?????????? ???????? ?????????? ?? ???????????????
"
40,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????????????2006????????????????2???
??????????2KM???????????????????????????????????????????
?????????2????????600???9????????960??
???????????????????????9????????????????????
","
??
????????????????????????????????????????????
"
41,https://shanghai.anjuke.com/community/view/8,"
??
????????????????????434??????597????????????????
????????????????2008??????????????????????
","
??
??????????????????
"
42,https://shanghai.anjuke.com/community/view/8,"
??
???????????ABCD4?????????434-767??????????????????
????????????????????1:3????????????????????????????????
???????????????????????153??????????
????????200?????????????1000???????????2?????????500????
","
??
??????????8200??????????????????????
"
43,https://shanghai.anjuke.com/community/view/8,"
??
??????434/597???????????????5????220????????????????????
?????????????????????????500?????,????,10?????????
","
??
??????????????
"
44,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????A?D??B?C???????????4-5??
???????????????????????3:1?
??????????????????????200?????????150????
","
??
????????????
"
45,https://shanghai.anjuke.com/community/view/8,"
??
????????????????40????????????431?????597??????????????
?????????300????2????????????????300???????????????
","
??
??????????????????
"
46,https://shanghai.anjuke.com/community/view/8,"
??
????????????4?45??49?3????????????????433-597??????????
????????????1?3???4000??????????????????????????????
????????2007???2008???????????????????????????153???????
????????????????????200?????????150???????780??????650??
?????????2??????520????500????9??????????????????
","
??
????????????????????????
"
47,https://shanghai.anjuke.com/community/view/8,"
??
??????????AbCd??????AD?????597????B?C???434????
????????4000????? ?????????????????????????
","
??
??????????????
"
48,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????ABCD??????????434-767????????270???????
????????500?????2????????780??????????550???????????????
?????????????????????????????????????40?????????
","
??
???????????????????
"
49,https://shanghai.anjuke.com/community/view/8,"
??
??????4???AD??????597??BC??????434??????????????????????
??????2005????2009???????11?/???????2?/????????????????
???????????????30%?????????? ???????????????CEO?????????
???????????????????????????15?/?/???????????????????????
","
??
????????????????????????
"
50,https://shanghai.anjuke.com/community/view/8,"
??
????????????4?????180????A,D??597??????B,C??431???
????????????1:3????????????????????????
??????????500???????2????????????????????????????
","
??
?????????????
"
51,https://shanghai.anjuke.com/community/view/8,"
??
?????????????220????A?D?597??B?C?433??B?C???????????80??
????????????29??????429??????1:2????????????????????????
??????2007??????????????????????????????????????????????
??????100?????????????????????????????????50????????????
?????????????????????????????????????150????????2?????
","
??
????????????????????????????
"
52,https://shanghai.anjuke.com/community/view/8,"
??
???????????433?597?????45-49??????????????
???????????????????????????????????????
?????????????????????????????100??????2??????200????
","
??
??????????????
"
53,https://shanghai.anjuke.com/community/view/8,"
??
?????????????431?4??579?5?,??????????,?????
??????????4????,??????????SPA???????????????
?????????2??(????)500?,9??(???)1??;????,????
","
??
??????,???,?????????,?????????
"
54,https://shanghai.anjuke.com/community/view/8,"
??
?????????ABCD??????AD?????BC????????597????433??BD??????
??????????400???????????????????1?3?????
???????????????2007????????????????????????????
","
??
??????433???????????
"
55,https://shanghai.anjuke.com/community/view/8,"
??
????????????434??597??????????876-986??????????????????
????????????????????1:3???????????????SPA?????????????
?????????????????????4???????????1???????????153??
???????????780??????????550????????330????????410??
?????????2??????520?????????????(791?961?????????)100?
","
??
????????????????????????????????????????????????????????????????????????????????????????
"
56,https://shanghai.anjuke.com/community/view/8,"
??
??????????????A??D??????????B??C????????????4-5?
??????????????????2007????2008???
?????????????????????????
","
??
??????????430??????????????
"
57,https://shanghai.anjuke.com/community/view/8,"
??
???????????4???????A?C???B?D???????????431??4??597??5??
?????????2??????580????2???????4??????6???????
???????????????????????????????????????????40?????????
","
??
??????????????????????????
"
58,https://shanghai.anjuke.com/community/view/8,"
??
???????A,B,C,D???????AD???597??5????BC???434??4????????
????????200?????????????1000??????
","
??
??????????????????????????????????????????????????????
"
59,https://shanghai.anjuke.com/community/view/8,"
??
???????????434-597??4+1??????876-986??5+1??????270?????
??????????1?????????????????SPA,????????3?1???????
????????????????????4????????????
???????????80%????????????CEO???37-55????????????
","
??
??????????????????
"
60,https://shanghai.anjuke.com/community/view/8,"
??
??????????4????A??D?597?????????????????824~926??
??????????1?2.9????3300/????4000????????????????????????
??????????2005????2009????????????????????????????
","
??
??????????????16.5??
"
61,https://shanghai.anjuke.com/community/view/8,"
??
??????????4?????????A? ??597??????C???431?
???????????2????????631?????2????????840?
","
??
????431????7000??
"
62,https://shanghai.anjuke.com/community/view/8,"
??
????????4???????????A?D?597???????????
???????????????????????????????????????????
?????????????2007??????????????????????????????
??????????150?????????????300?????????????????????????
????????????????????30?45????????????
","
??
???????????
"
63,https://shanghai.anjuke.com/community/view/8,"
??
????????760????????C????????
?????????2?????????600?????????2??1200?
","
??
??????????????????
"
64,https://shanghai.anjuke.com/community/view/8,"
??
????????????????A\D?597???????B\C?434??????????824-986??
????????????1?1.95?????B1?180??B2?120?
??????2005?10???2009?6?30????????20000?/??
","
??
?????????????
"
65,https://shanghai.anjuke.com/community/view/8,"
??
?????????A,B,C,D????A,D????????????3?1?,??597????????
?????????????2005????2007?????????*????????????????????
????????????????????????15??????85%????47%????3000?/?
","
??
????????????????????????????????????
"
66,https://shanghai.anjuke.com/community/view/8,"
??
????????434????597??????45???????????
?????????2??????900????????????????????
","
??
???????????????????????
"
67,https://shanghai.anjuke.com/community/view/8,"
??
???????????????A\D??597??????B\C??430????????767?1200???
??????????1:3????????4000???????????????????
","
??
????????7000????
"
68,https://shanghai.anjuke.com/community/view/8,"
??
?????????4?,??A\D??597??????B\C??430????????767??1200???
??????????1?3??????4000??????????????????????
????????2007????2008???
??????????????????200?????????150?
","
??
?????????????????????????17?????????????????????7000????
"
69,https://shanghai.anjuke.com/community/view/8,"
??
????????????? ????? ????? 434?597?  ???876?987???
??????????1:3  ??????? ?? ???????
","
??
?????????? ???????? ?????????? ?? ???????????????
"
70,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????????????2006????????????????2???
??????????2KM???????????????????????????????????????????
?????????2????????600???9????????960??
???????????????????????9????????????????????
","
??
????????????????????????????????????????????
"
71,https://shanghai.anjuke.com/community/view/8,"
??
????????????????????434??????597????????????????
????????????????2008??????????????????????
","
??
??????????????????
"
72,https://shanghai.anjuke.com/community/view/8,"
??
???????????ABCD4?????????434-767??????????????????
????????????????????1:3????????????????????????????????
???????????????????????153??????????
????????200?????????????1000???????????2?????????500????
","
??
??????????8200??????????????????????
"
73,https://shanghai.anjuke.com/community/view/8,"
??
??????434/597???????????????5????220????????????????????
?????????????????????????500?????,????,10?????????
","
??
??????????????
"
74,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????A?D??B?C???????????4-5??
???????????????????????3:1?
??????????????????????200?????????150????
","
??
????????????
"
75,https://shanghai.anjuke.com/community/view/8,"
??
????????????????40????????????431?????597??????????????
?????????300????2????????????????300???????????????
","
??
??????????????????
"
76,https://shanghai.anjuke.com/community/view/8,"
??
????????????4?45??49?3????????????????433-597??????????
????????????1?3???4000??????????????????????????????
????????2007???2008???????????????????????????153???????
????????????????????200?????????150???????780??????650??
?????????2??????520????500????9??????????????????
","
??
????????????????????????
"
77,https://shanghai.anjuke.com/community/view/8,"
??
??????????AbCd??????AD?????597????B?C???434????
????????4000????? ?????????????????????????
","
??
??????????????
"
78,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????ABCD??????????434-767????????270???????
????????500?????2????????780??????????550???????????????
?????????????????????????????????????40?????????
","
??
???????????????????
"
79,https://shanghai.anjuke.com/community/view/8,"
??
??????4???AD??????597??BC??????434??????????????????????
??????2005????2009???????11?/???????2?/????????????????
???????????????30%?????????? ???????????????CEO?????????
???????????????????????????15?/?/???????????????????????
","
??
????????????????????????
"
80,https://shanghai.anjuke.com/community/view/8,"
??
????????????4?????180????A,D??597??????B,C??431???
????????????1:3????????????????????????
??????????500???????2????????????????????????????
","
??
?????????????
"
81,https://shanghai.anjuke.com/community/view/8,"
??
?????????????220????A?D?597??B?C?433??B?C???????????80??
????????????29??????429??????1:2????????????????????????
??????2007??????????????????????????????????????????????
??????100?????????????????????????????????50????????????
?????????????????????????????????????150????????2?????
","
??
????????????????????????????
"
82,https://shanghai.anjuke.com/community/view/8,"
??
???????????433?597?????45-49??????????????
???????????????????????????????????????
?????????????????????????????100??????2??????200????
","
??
??????????????
"
83,https://shanghai.anjuke.com/community/view/8,"
??
?????????????431?4??579?5?,??????????,?????
??????????4????,??????????SPA???????????????
?????????2??(????)500?,9??(???)1??;????,????
","
??
??????,???,?????????,?????????
"
84,https://shanghai.anjuke.com/community/view/8,"
??
?????????ABCD??????AD?????BC????????597????433??BD??????
??????????400???????????????????1?3?????
???????????????2007????????????????????????????
","
??
??????433???????????
"
85,https://shanghai.anjuke.com/community/view/8,"
??
????????????434??597??????????876-986??????????????????
????????????????????1:3???????????????SPA?????????????
?????????????????????4???????????1???????????153??
???????????780??????????550????????330????????410??
?????????2??????520?????????????(791?961?????????)100?
","
??
????????????????????????????????????????????????????????????????????????????????????????
"
86,https://shanghai.anjuke.com/community/view/8,"
??
??????????????A??D??????????B??C????????????4-5?
??????????????????2007????2008???
?????????????????????????
","
??
??????????430??????????????
"
87,https://shanghai.anjuke.com/community/view/8,"
??
???????????4???????A?C???B?D???????????431??4??597??5??
?????????2??????580????2???????4??????6???????
???????????????????????????????????????????40?????????
","
??
??????????????????????????
"
88,https://shanghai.anjuke.com/community/view/8,"
??
???????A,B,C,D???????AD???597??5????BC???434??4????????
????????200?????????????1000??????
","
??
??????????????????????????????????????????????????????
"
89,https://shanghai.anjuke.com/community/view/8,"
??
???????????434-597??4+1??????876-986??5+1??????270?????
??????????1?????????????????SPA,????????3?1???????
????????????????????4????????????
???????????80%????????????CEO???37-55????????????
","
??
??????????????????
"
90,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????AD??????597????BC??????434????????????
?????????????????????????????????1:3???????
?????????????50??300?????????????????????????550??
","
??
????400?????????????7300W???????
"
91,https://shanghai.anjuke.com/community/view/8,"
??
??????????AD???597??????BC???434????????876-986?????????
????????????????????????????????????????????????????????
??????????????4??????1????????????ALT?12????????????????
????????500???????? ???? ???????? ???? ??????1000???????
?????????2??????520???9??????500???2??????1000?
","
??
?????180????????????????????????4???????????????????????????????????????????
"
92,https://shanghai.anjuke.com/community/view/8,"
??
?????????A?B?C?D???????????434?????597??????????????????
????????????????????????????????????????????????????
????????????2??????690?????????????????????????????????
","
??
????434?597??????????20?\???????????????????
"
93,https://shanghai.anjuke.com/community/view/8,"
??
???????????????????????C??434??A??597???????????????????
????????200????????????1000????????
??????500?????9????????1000???????2????????
","
??
??????????
"
94,https://shanghai.anjuke.com/community/view/8,"
??
???????A/B/C/D????????A/D???597?5???B/C???434?4?????????
????????????????1:3??????????????????????
","
??
????????????
"
95,https://shanghai.anjuke.com/community/view/8,"
??
????????????1:3???????????????????
????????500?????????????????1000?????????
","
??
?????????????
"
96,https://shanghai.anjuke.com/community/view/8,"
??
???????ABCD??????A?D???597?5?????270????????B?C???434?4?
??????????4000?????????????????????????????????????????
????????????????????????????????????????200??????????? ?
","
??
??????180??????????????????????????50%?????????????????????????
"
97,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????433??597?????????????????????
","
??
?????????????
"
98,https://shanghai.anjuke.com/community/view/8,"
??
?????????????2007???6???????220???????????????400???????
????????????????????????????????????16????????12.7??
??????????2009??????????A,C???B,D?????????????????????
?????????????????????????100?????????1????????????????
??????????1000????????2????????????
","
??
???????????????????????????????????????
"
99,https://shanghai.anjuke.com/community/view/8,"
??
????????290???????????????380??????IFC??
????????700????????????932??1200???????????9???
","
??
????????????/?????????????
"
100,https://shanghai.anjuke.com/community/view/8,"
??
??????????4????A??D?597?????????????????824~926??
??????????1?2.9????3300/????4000????????????????????????
??????????2005????2009????????????????????????????
","
??
??????????????16.5??
"
101,https://shanghai.anjuke.com/community/view/8,"
??
??????????4?????????A? ??597??????C???431?
???????????2????????631?????2????????840?
","
??
????431????7000??
"
102,https://shanghai.anjuke.com/community/view/8,"
??
????????4???????????A?D?597???????????
???????????????????????????????????????????
?????????????2007??????????????????????????????
??????????150?????????????300?????????????????????????
????????????????????30?45????????????
","
??
???????????
"
103,https://shanghai.anjuke.com/community/view/8,"
??
????????760????????C????????
?????????2?????????600?????????2??1200?
","
??
??????????????????
"
104,https://shanghai.anjuke.com/community/view/8,"
??
????????????????A\D?597???????B\C?434??????????824-986??
????????????1?1.95?????B1?180??B2?120?
??????2005?10???2009?6?30????????20000?/??
","
??
?????????????
"
105,https://shanghai.anjuke.com/community/view/8,"
??
?????????A,B,C,D????A,D????????????3?1?,??597????????
?????????????2005????2007?????????*????????????????????
????????????????????????15??????85%????47%????3000?/?
","
??
????????????????????????????????????
"
106,https://shanghai.anjuke.com/community/view/8,"
??
????????434????597??????45???????????
?????????2??????900????????????????????
","
??
???????????????????????
"
107,https://shanghai.anjuke.com/community/view/8,"
??
???????????????A\D??597??????B\C??430????????767?1200???
??????????1:3????????4000???????????????????
","
??
????????7000????
"
108,https://shanghai.anjuke.com/community/view/8,"
??
?????????4?,??A\D??597??????B\C??430????????767??1200???
??????????1?3??????4000??????????????????????
????????2007????2008???
??????????????????200?????????150?
","
??
?????????????????????????17?????????????????????7000????
"
109,https://shanghai.anjuke.com/community/view/8,"
??
????????????? ????? ????? 434?597?  ???876?987???
??????????1:3  ??????? ?? ???????
","
??
?????????? ???????? ?????????? ?? ???????????????
"
110,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????????????2006????????????????2???
??????????2KM???????????????????????????????????????????
?????????2????????600???9????????960??
???????????????????????9????????????????????
","
??
????????????????????????????????????????????
"
111,https://shanghai.anjuke.com/community/view/8,"
??
????????????????????434??????597????????????????
????????????????2008??????????????????????
","
??
??????????????????
"
112,https://shanghai.anjuke.com/community/view/8,"
??
???????????ABCD4?????????434-767??????????????????
????????????????????1:3????????????????????????????????
???????????????????????153??????????
????????200?????????????1000???????????2?????????500????
","
??
??????????8200??????????????????????
"
113,https://shanghai.anjuke.com/community/view/8,"
??
??????434/597???????????????5????220????????????????????
?????????????????????????500?????,????,10?????????
","
??
??????????????
"
114,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????A?D??B?C???????????4-5??
???????????????????????3:1?
??????????????????????200?????????150????
","
??
????????????
"
115,https://shanghai.anjuke.com/community/view/8,"
??
????????????????40????????????431?????597??????????????
?????????300????2????????????????300???????????????
","
??
??????????????????
"
116,https://shanghai.anjuke.com/community/view/8,"
??
????????????4?45??49?3????????????????433-597??????????
????????????1?3???4000??????????????????????????????
????????2007???2008???????????????????????????153???????
????????????????????200?????????150???????780??????650??
?????????2??????520????500????9??????????????????
","
??
????????????????????????
"
117,https://shanghai.anjuke.com/community/view/8,"
??
??????????AbCd??????AD?????597????B?C???434????
????????4000????? ?????????????????????????
","
??
??????????????
"
118,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????ABCD??????????434-767????????270???????
????????500?????2????????780??????????550???????????????
?????????????????????????????????????40?????????
","
??
???????????????????
"
119,https://shanghai.anjuke.com/community/view/8,"
??
??????4???AD??????597??BC??????434??????????????????????
??????2005????2009???????11?/???????2?/????????????????
???????????????30%?????????? ???????????????CEO?????????
???????????????????????????15?/?/???????????????????????
","
??
????????????????????????
"
120,https://shanghai.anjuke.com/community/view/8,"
??
????????????4?????180????A,D??597??????B,C??431???
????????????1:3????????????????????????
??????????500???????2????????????????????????????
","
??
?????????????
"
121,https://shanghai.anjuke.com/community/view/8,"
??
?????????????220????A?D?597??B?C?433??B?C???????????80??
????????????29??????429??????1:2????????????????????????
??????2007??????????????????????????????????????????????
??????100?????????????????????????????????50????????????
?????????????????????????????????????150????????2?????
","
??
????????????????????????????
"
122,https://shanghai.anjuke.com/community/view/8,"
??
???????????433?597?????45-49??????????????
???????????????????????????????????????
?????????????????????????????100??????2??????200????
","
??
??????????????
"
123,https://shanghai.anjuke.com/community/view/8,"
??
?????????????431?4??579?5?,??????????,?????
??????????4????,??????????SPA???????????????
?????????2??(????)500?,9??(???)1??;????,????
","
??
??????,???,?????????,?????????
"
124,https://shanghai.anjuke.com/community/view/8,"
??
?????????ABCD??????AD?????BC????????597????433??BD??????
??????????400???????????????????1?3?????
???????????????2007????????????????????????????
","
??
??????433???????????
"
125,https://shanghai.anjuke.com/community/view/8,"
??
????????????434??597??????????876-986??????????????????
????????????????????1:3???????????????SPA?????????????
?????????????????????4???????????1???????????153??
???????????780??????????550????????330????????410??
?????????2??????520?????????????(791?961?????????)100?
","
??
????????????????????????????????????????????????????????????????????????????????????????
"
126,https://shanghai.anjuke.com/community/view/8,"
??
??????????????A??D??????????B??C????????????4-5?
??????????????????2007????2008???
?????????????????????????
","
??
??????????430??????????????
"
127,https://shanghai.anjuke.com/community/view/8,"
??
???????????4???????A?C???B?D???????????431??4??597??5??
?????????2??????580????2???????4??????6???????
???????????????????????????????????????????40?????????
","
??
??????????????????????????
"
128,https://shanghai.anjuke.com/community/view/8,"
??
???????A,B,C,D???????AD???597??5????BC???434??4????????
????????200?????????????1000??????
","
??
??????????????????????????????????????????????????????
"
129,https://shanghai.anjuke.com/community/view/8,"
??
???????????434-597??4+1??????876-986??5+1??????270?????
??????????1?????????????????SPA,????????3?1???????
????????????????????4????????????
???????????80%????????????CEO???37-55????????????
","
??
??????????????????
"
130,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????AD??????597????BC??????434????????????
?????????????????????????????????1:3???????
?????????????50??300?????????????????????????550??
","
??
????400?????????????7300W???????
"
131,https://shanghai.anjuke.com/community/view/8,"
??
??????????AD???597??????BC???434????????876-986?????????
????????????????????????????????????????????????????????
??????????????4??????1????????????ALT?12????????????????
????????500???????? ???? ???????? ???? ??????1000???????
?????????2??????520???9??????500???2??????1000?
","
??
?????180????????????????????????4???????????????????????????????????????????
"
132,https://shanghai.anjuke.com/community/view/8,"
??
?????????A?B?C?D???????????434?????597??????????????????
????????????????????????????????????????????????????
????????????2??????690?????????????????????????????????
","
??
????434?597??????????20?\???????????????????
"
133,https://shanghai.anjuke.com/community/view/8,"
??
???????????????????????C??434??A??597???????????????????
????????200????????????1000????????
??????500?????9????????1000???????2????????
","
??
??????????
"
134,https://shanghai.anjuke.com/community/view/8,"
??
???????A/B/C/D????????A/D???597?5???B/C???434?4?????????
????????????????1:3??????????????????????
","
??
????????????
"
135,https://shanghai.anjuke.com/community/view/8,"
??
????????????1:3???????????????????
????????500?????????????????1000?????????
","
??
?????????????
"
136,https://shanghai.anjuke.com/community/view/8,"
??
???????ABCD??????A?D???597?5?????270????????B?C???434?4?
??????????4000?????????????????????????????????????????
????????????????????????????????????????200??????????? ?
","
??
??????180??????????????????????????50%?????????????????????????
"
137,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????433??597?????????????????????
","
??
?????????????
"
138,https://shanghai.anjuke.com/community/view/8,"
??
?????????????2007???6???????220???????????????400???????
????????????????????????????????????16????????12.7??
??????????2009??????????A,C???B,D?????????????????????
?????????????????????????100?????????1????????????????
??????????1000????????2????????????
","
??
???????????????????????????????????????
"
139,https://shanghai.anjuke.com/community/view/8,"
??
????????290???????????????380??????IFC??
????????700????????????932??1200???????????9???
","
??
????????????/?????????????
"
140,https://shanghai.anjuke.com/community/view/8,"
??
????????4????????????400?????????????
????????2006??????????????????????????????????????
?????????2??????900????????????????????
","
??
???????????????????????????????????
"
141,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????????434~598??????
???????????1?3???????????????????
","
??
??????????????????????????
"
142,https://shanghai.anjuke.com/community/view/8,"
??
??????????ABCD4?????????434-598??A?D??????????????
??????????????????1?3??????????SPA??????????????????????
???????????????????????????????????????????????????
??????500???????????????????????2/4/9????????
??????500???9???????1000???2?????????????
","
??
???????????
"
143,https://shanghai.anjuke.com/community/view/8,"
??
?????????ABCD4??B??C??3???????????431??A??D?????????597?
????????????????????1:3???????????????SPA?????????????
????????????? ????????200?? ????????150? ???????
?????????2??????520?????????????(791?961?????????)100??
","
??
?????????????????????????????
"
144,https://shanghai.anjuke.com/community/view/8,"
??
??????????ABCD??????AD?????597????BC????434?4?
????????4000????????????????????????????????????????????
????????500????????????????????????????
?????????2??????450???????798??795??
???????????????????????
","
??
?????????????????
"
145,https://shanghai.anjuke.com/community/view/8,"
??
??????????A?B?C?D????????A?D?????597??????????
????????4000????????????????????????????????????????
????????200?????????????1000????????
??????500???9??[????]1000???2??[????]
","
??
??????????
"
